artist_id,artist_name,artist_genres,artist_followers,artist_popularity
4WYWCaNbo0tE3g7D3CEjzZ,Paon Bleu,[],53,38
3aVoqlJOYx31lH1gibGDt3,Babyface,"['contemporary r&b', 'neo soul', 'new jack swing', 'quiet storm', 'r&b', 'urban contemporary']",788533,65
2fV23bDf2vC1f49t5j6wtW,Boris Gardiner,"['lovers rock', 'rock steady']",12025,38
1LfnIuggAY5qQdS4sP1K86,Matthew Mole,"['indiecoustica', 'south african alternative', 'south african pop']",87675,56
7BDI9Iqt24gl4RGdS6hWs9,Ray Peterson,"['adult standards', 'brill building pop', 'deep adult standards', 'merseybeat', 'rock-and-roll']",22159,38
0gsIXiV7rw5I9wJaxgoOdB,In Mourning,"['melodic death metal', 'metal', 'progressive death metal', 'swedish melodeath', 'swedish progressive metal']",42297,41
1EH9eSje47IiRyVsq3gfkl,Raven,"['hard rock', 'metal', 'neo-trad metal', 'nwobhm', 'nwothm', 'speed metal', 'thrash metal']",47590,30
0lAWpj5szCSwM4rUMHYmrr,Måneskin,"['indie rock italiano', 'italian pop']",4848809,85
2x25aNM4XzVKgrmZw5xcrb,Jake Banfield,['gen z singer-songwriter'],46416,46
29XOeO6KIWxGthejQqn793,Flying Lotus,"['afrofuturism', 'alternative hip hop', 'electronica', 'escape room', 'experimental hip hop', 'glitch', 'glitch hop', 'hip hop', 'intelligent dance music', 'jazztronica', 'psychedelic hip hop', 'wonky']",662083,62
364ovD0MRp9ezaNTkRoLeA,Gavin Mikhail,"['neo mellow', 'piano rock', 'viral pop']",100232,53
4Q6EFOghPrRjdwsF4p7Nzm,Nailbomb,"['alternative metal', 'death metal', 'groove metal', 'rap rock']",65616,36
0SgDfSfWqkZMW96aT2oQZ1,Paul Hardcastle,['smooth jazz'],51170,51
6sFHvCyqklnJpXC9Nh1aag,Alexander 23,"['alt z', 'pop']",241991,69
1pXT9wt3jNgkk4AVvAydBm,Ghoultown,"['gothabilly', 'horror punk', 'psychobilly']",36197,40
